amount,dealsubtype,dealtype,from.id,from.label,from.name,from.taxonomy,id,realsector,sector.id,sector.label,sector.name,sector.taxonomy,time.day,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.id,to.label,to.name,to.taxonomy
1000000.0,,,56,"Macedonia, FYR",mk,from,fb2748cf36fdafa4b5ac1e7099c1404584a52be7,Real Estate,2,Financial,financial,sector,01,20,01. January 1994,01,1994-01-01,0,time,00,1994,199401,5488,Tetovo Gradba,tetovo-gradba,to
1000000.0,,,47,Kazakhstan,kz,from,fb42505515202b5c895e29637c66b79438b87474,Petroleum,3,Energy,energy,sector,01,13,01. January 1996,01,1996-01-01,0,time,01,1996,199601,4867,Dzhezkasgantsvetmet,dzhezkasgantsvetmet,to
1000000.0,,Auction,79,Romania,ro,from,fb64411834b2d67ec5986394767fe51cd7c86afd,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8113,AGROMEC ROSIORU S.A.,agromec-rosioru-s-a,to
1000000.0,,,26,Czech Republic,cz,from,fbeefd70bacfce9549df9cfdb4c7aaf7f4c74a21,Detergent,8,Manufacturing & Services,manufacturing-services,sector,01,18,01. January 1991,01,1991-01-01,0,time,00,1991,199101,3190,Palma,palma,to
1000000.0,,Employees buy-out,9,Belarus,by,from,fc189775b75a893e45b2466c761b08bda01cd1bf,Transport,1,Infrastructure,infrastructure,sector,01,11,01. January 1997,01,1997-01-01,0,time,00,1997,199701,2239,"Avtotransportnoe predprijatie nomer 14, gorod Lepel",avtotransportnoe-predprijatie-nomer-14-gorod-lepel,to
1000000.0,,Auction,79,Romania,ro,from,fc2ab9838fc6fb215ea7caecdb65c8a4d4ff1dfa,Construction,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7354,CASTOR S.A.,castor-s-a,to
1000000.0,,Negotiation,79,Romania,ro,from,fcafa2252525b4fc6ae40b13a7677e9545147e69,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7452,POLIPROD S.A.,poliprod-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fcea6ce55c38504879c36ebd3d39879c6ba9bb15,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7811,AGROMEC SIEU ODORHEI S.A.,agromec-sieu-odorhei-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fceb373eba5635e28ecd32362f1a2a0ccbb18026,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7380,AUTOCART S.A.,autocart-s-a,to
1000000.0,,Various methods,34,Gabon,ga,from,fd00195a4b9d21084b59660c9259ee87bce7a67a,Other,6,Other,other,sector,01,14,01. January 1999,01,1999-01-01,0,time,00,1999,199901,3752,Total priv revenue,total-priv-revenue,to
1000000.0,,Auction,79,Romania,ro,from,fd011c4e9b08f6f4997de7ebc3483c9c5acece7f,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8057,MARA CON MIXT S.A.,mara-con-mixt-s-a,to
1000000.0,,Auction,36,Ghana,gh,from,fd2dcb26131597bc5bfd8e75366c69466c4b7eb9,Assets,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,3842,State Shipping Line Properties,state-shipping-line-properties,to
1000000.0,,,110,"Gambia, The",gm,from,fd4e9799f37491d5723aaebc66dd186d97f83f7a,Hotels and restaurants,9,Services,services,sector,01,14,01. January 1999,01,1999-01-01,0,time,00,1999,199901,3755,Atlantic Hotel,atlantic-hotel,to
1000000.0,,Auction,79,Romania,ro,from,fd4f18aeca5d047601f083bb4aa966106bc18817,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7981,TARA DE SUS S.A.,tara-de-sus-s-a,to
1000000.0,,Negotiation,79,Romania,ro,from,fe92428dc81a8274047e72630e739808569d8289,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7668,EL-TEX S.A.,el-tex-s-a,to
1000000.0,,,78,Poland,pl,from,fea113223a681e709ffc138969d4a8e851df0602,Gas,1,Infrastructure,infrastructure,sector,01,16,01. January 1993,01,1993-01-01,0,time,00,1993,199301,6857,Siewierskig Zaklady Gazow Technicznych (Polgaz),siewierskig-zaklady-gazow-technicznych-polgaz,to
1000000.0,,Liquidation,48,Kenya,ke,from,ff024b8a3da2248e64ec43576503c2bad5a1f061,Financial,2,Financial,financial,sector,01,11,01. January 1997,01,1997-01-01,0,time,00,1997,199701,4947,Utalii Investment Company,utalii-investment-company,to
1000000.0,,,40,Hungary,hu,from,ff356cbd9d6fd2d78aae5f627ed311a33a3028d6,Industry,9,Services,services,sector,01,10,01. January 1995,01,1995-01-01,0,time,00,1995,199501,4463,Mátra Malom Gabonaforgalmi és Malomipari Részvénytársaság,matra-malom-gabonaforgalmi-es-malomipari-reszvenytarsasag,to
1000000.0,,Auction,79,Romania,ro,from,ff36a7f96237b382937a510f262b2b8b357f7412,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7568,71 POMUL VERDE S.A.,71-pomul-verde-s-a,to
